EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
60	05:42:09	1	0.0031	4.444960594177246	11.14824104309082	0.8382	0.8373	0.8377
61	05:42:30	2	0.0031	4.320469030967126	11.193645477294922	0.8409	0.8373	0.8391
62	05:42:50	3	0.0031	4.55158701309791	11.25727653503418	0.8391	0.8373	0.8382
63	05:43:11	4	0.0031	4.585817135297335	11.214170455932617	0.8378	0.8351	0.8365
64	05:43:31	1	0.0016	4.280009526472825	11.151939392089844	0.8400	0.8373	0.8386
65	05:43:51	2	0.0016	4.120096784371596	11.152061462402344	0.8368	0.8341	0.8354
66	05:44:11	3	0.0016	4.309563104922955	11.162872314453125	0.8385	0.8394	0.8390
67	05:44:31	4	0.0016	4.286217120977549	11.156293869018555	0.8371	0.8362	0.8367
68	05:44:50	1	0.0008	4.3806727299323445	11.147462844848633	0.8380	0.8362	0.8371
69	05:45:11	2	0.0008	4.333795547485352	11.142814636230469	0.8369	0.8351	0.8360
70	05:45:30	3	0.0008	4.30206142939054	11.120192527770996	0.8389	0.8362	0.8376
71	05:45:50	4	0.0008	4.389311662087073	11.13919448852539	0.8377	0.8341	0.8359
72	05:46:10	1	0.0004	4.3113144269356365	11.128345489501953	0.8378	0.8351	0.8365
73	05:46:30	2	0.0004	4.352400321226853	11.129140853881836	0.8378	0.8351	0.8365
74	05:46:50	3	0.0004	4.500706030772283	11.127523422241211	0.8389	0.8362	0.8376
75	05:47:10	4	0.0004	4.406548188282893	11.138795852661133	0.8378	0.8351	0.8365
76	05:47:30	1	0.0002	4.224540417010967	11.14448356628418	0.8378	0.8351	0.8365
77	05:47:49	2	0.0002	4.254665814913237	11.142626762390137	0.8378	0.8351	0.8365
78	05:48:09	3	0.0002	4.32834373987638	11.150224685668945	0.8378	0.8351	0.8365
79	05:48:29	4	0.0002	4.2648416849283075	11.151103019714355	0.8369	0.8351	0.8360
